This flight happened on: Wed Jan 11 02:48:28 2023

acc_x |acc_y|acc_z| roll |pitch| yaw | x_vel|y_vel|z_vel|  X   | Y   |  Z  |
+0.00 |+0.00 |+0.00 |+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.35 |+0.20 |+9.64 |+0.00|+0.02|-0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.33 |+0.19 |+9.67 |+0.00|+0.02|-0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.32 |+0.11 |+9.64 |+0.00|+0.02|-0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.35 |+0.17 |+9.72 |+0.00|+0.02|-0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.37 |+0.14 |+9.73 |+0.00|+0.02|-0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.38 |+0.13 |+9.63 |+0.00|+0.02|-0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.33 |+0.14 |+9.65 |+0.00|+0.02|-0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.32 |+0.16 |+9.68 |+0.00|+0.02|-0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.36 |+0.15 |+9.66 |+0.00|+0.02|-0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.31 |+0.15 |+9.71 |+0.00|+0.02|-0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.37 |+0.14 |+9.64 |+0.01|+0.02|-0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.40 |+0.14 |+9.66 |+0.01|+0.02|-0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.36 |+0.16 |+9.67 |+0.01|+0.02|-0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.35 |+0.17 |+9.66 |+0.01|+0.02|-0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.39 |+0.13 |+9.63 |+0.01|+0.02|-0.01|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

